"batch_id","run_index","relaunch_group","source_config","target_config","source_model_grid","target_model_grid","engine_path","engine_branch","engine_commit","run_id","core","role","D","n","m","alpha","rho","pi_w","pi_in","win_scale_global","win_scale_bias","rhs_tau0","rhs_alpha_tau0","seed","launch_status"
"engine73c_memory_refine16_20260529",1,"memory_expansion","application/config/glofas_latent_path_al_vb_dec25_flex8_d1n300_m360_a92_r95_w018_bt3em02_at3em02_skip_main1000_engine73c.yaml","application/config/glofas_latent_path_al_vb_dec25_memrefine16_d1n300_m300_a92_r95_w018_bt3em02_at3em02_skip_main1000_engine73c.yaml","application/config/model_grid_latent_path_al_vb_dec25_flex8_d1n300_m360_a92_r95_w018_bt3em02_at3em02_skip_main1000_engine73c.csv","application/config/model_grid_latent_path_al_vb_dec25_memrefine16_d1n300_m300_a92_r95_w018_bt3em02_at3em02_skip_main1000_engine73c.csv","/data/jaguir26/local/src/exdqlm__wt__article_app_engine_73c043f","article/app-engine-73c043f","73c043f0436b508808366f312350fd44c2d06771","engine73c_memrefine16_01_d1n300_m300_a92_r95_w018_bt3em02_at3em02_skip_20260529_1618",31,"m300_w18_both_tau3em2",1,300,300,0.92,0.95,0.03,1,0.18,0.18,0.03,0.03,20260512,"prepared_not_launched"
"engine73c_memory_refine16_20260529",2,"memory_expansion","application/config/glofas_latent_path_al_vb_dec25_flex8_d1n300_m360_a92_r95_w018_bt3em02_at3em02_skip_main1000_engine73c.yaml","application/config/glofas_latent_path_al_vb_dec25_memrefine16_d1n300_m420_a92_r95_w018_bt3em02_at3em02_skip_main1000_engine73c.yaml","application/config/model_grid_latent_path_al_vb_dec25_flex8_d1n300_m360_a92_r95_w018_bt3em02_at3em02_skip_main1000_engine73c.csv","application/config/model_grid_latent_path_al_vb_dec25_memrefine16_d1n300_m420_a92_r95_w018_bt3em02_at3em02_skip_main1000_engine73c.csv","/data/jaguir26/local/src/exdqlm__wt__article_app_engine_73c043f","article/app-engine-73c043f","73c043f0436b508808366f312350fd44c2d06771","engine73c_memrefine16_02_d1n300_m420_a92_r95_w018_bt3em02_at3em02_skip_20260529_1618",32,"m420_w18_both_tau3em2",1,300,420,0.92,0.95,0.03,1,0.18,0.18,0.03,0.03,20260512,"prepared_not_launched"
"engine73c_memory_refine16_20260529",3,"memory_expansion","application/config/glofas_latent_path_al_vb_dec25_flex8_d1n300_m360_a92_r95_w018_bt3em02_at3em02_skip_main1000_engine73c.yaml","application/config/glofas_latent_path_al_vb_dec25_memrefine16_d1n300_m540_a92_r95_w018_bt3em02_at3em02_skip_main1000_engine73c.yaml","application/config/model_grid_latent_path_al_vb_dec25_flex8_d1n300_m360_a92_r95_w018_bt3em02_at3em02_skip_main1000_engine73c.csv","application/config/model_grid_latent_path_al_vb_dec25_memrefine16_d1n300_m540_a92_r95_w018_bt3em02_at3em02_skip_main1000_engine73c.csv","/data/jaguir26/local/src/exdqlm__wt__article_app_engine_73c043f","article/app-engine-73c043f","73c043f0436b508808366f312350fd44c2d06771","engine73c_memrefine16_03_d1n300_m540_a92_r95_w018_bt3em02_at3em02_skip_20260529_1618",33,"m540_w18_both_tau3em2",1,300,540,0.92,0.95,0.03,1,0.18,0.18,0.03,0.03,20260512,"prepared_not_launched"
"engine73c_memory_refine16_20260529",4,"memory_expansion","application/config/glofas_latent_path_al_vb_dec25_flex8_d1n300_m360_a92_r95_w018_bt3em02_at3em02_skip_main1000_engine73c.yaml","application/config/glofas_latent_path_al_vb_dec25_memrefine16_d1n300_m720_a92_r95_w018_bt3em02_at3em02_skip_main1000_engine73c.yaml","application/config/model_grid_latent_path_al_vb_dec25_flex8_d1n300_m360_a92_r95_w018_bt3em02_at3em02_skip_main1000_engine73c.csv","application/config/model_grid_latent_path_al_vb_dec25_memrefine16_d1n300_m720_a92_r95_w018_bt3em02_at3em02_skip_main1000_engine73c.csv","/data/jaguir26/local/src/exdqlm__wt__article_app_engine_73c043f","article/app-engine-73c043f","73c043f0436b508808366f312350fd44c2d06771","engine73c_memrefine16_04_d1n300_m720_a92_r95_w018_bt3em02_at3em02_skip_20260529_1618",34,"m720_w18_both_tau3em2",1,300,720,0.92,0.95,0.03,1,0.18,0.18,0.03,0.03,20260512,"prepared_not_launched"
"engine73c_memory_refine16_20260529",5,"input_scale","application/config/glofas_latent_path_al_vb_dec25_flex8_d1n300_m360_a92_r95_w018_bt3em02_at3em02_skip_main1000_engine73c.yaml","application/config/glofas_latent_path_al_vb_dec25_memrefine16_d1n300_m360_a92_r95_w014_bt3em02_at3em02_skip_main1000_engine73c.yaml","application/config/model_grid_latent_path_al_vb_dec25_flex8_d1n300_m360_a92_r95_w018_bt3em02_at3em02_skip_main1000_engine73c.csv","application/config/model_grid_latent_path_al_vb_dec25_memrefine16_d1n300_m360_a92_r95_w014_bt3em02_at3em02_skip_main1000_engine73c.csv","/data/jaguir26/local/src/exdqlm__wt__article_app_engine_73c043f","article/app-engine-73c043f","73c043f0436b508808366f312350fd44c2d06771","engine73c_memrefine16_05_d1n300_m360_a92_r95_w014_bt3em02_at3em02_skip_20260529_1618",35,"m360_w14_both_tau3em2",1,300,360,0.92,0.95,0.03,1,0.14,0.14,0.03,0.03,20260512,"prepared_not_launched"
"engine73c_memory_refine16_20260529",6,"input_scale","application/config/glofas_latent_path_al_vb_dec25_flex8_d1n300_m360_a92_r95_w018_bt3em02_at3em02_skip_main1000_engine73c.yaml","application/config/glofas_latent_path_al_vb_dec25_memrefine16_d1n300_m360_a92_r95_w022_bt3em02_at3em02_skip_main1000_engine73c.yaml","application/config/model_grid_latent_path_al_vb_dec25_flex8_d1n300_m360_a92_r95_w018_bt3em02_at3em02_skip_main1000_engine73c.csv","application/config/model_grid_latent_path_al_vb_dec25_memrefine16_d1n300_m360_a92_r95_w022_bt3em02_at3em02_skip_main1000_engine73c.csv","/data/jaguir26/local/src/exdqlm__wt__article_app_engine_73c043f","article/app-engine-73c043f","73c043f0436b508808366f312350fd44c2d06771","engine73c_memrefine16_06_d1n300_m360_a92_r95_w022_bt3em02_at3em02_skip_20260529_1618",36,"m360_w22_both_tau3em2",1,300,360,0.92,0.95,0.03,1,0.22,0.22,0.03,0.03,20260512,"prepared_not_launched"
"engine73c_memory_refine16_20260529",7,"input_scale","application/config/glofas_latent_path_al_vb_dec25_flex8_d1n300_m360_a92_r95_w018_bt3em02_at3em02_skip_main1000_engine73c.yaml","application/config/glofas_latent_path_al_vb_dec25_memrefine16_d1n300_m360_a92_r95_w026_bt3em02_at3em02_skip_main1000_engine73c.yaml","application/config/model_grid_latent_path_al_vb_dec25_flex8_d1n300_m360_a92_r95_w018_bt3em02_at3em02_skip_main1000_engine73c.csv","application/config/model_grid_latent_path_al_vb_dec25_memrefine16_d1n300_m360_a92_r95_w026_bt3em02_at3em02_skip_main1000_engine73c.csv","/data/jaguir26/local/src/exdqlm__wt__article_app_engine_73c043f","article/app-engine-73c043f","73c043f0436b508808366f312350fd44c2d06771","engine73c_memrefine16_07_d1n300_m360_a92_r95_w026_bt3em02_at3em02_skip_20260529_1618",37,"m360_w26_both_tau3em2",1,300,360,0.92,0.95,0.03,1,0.26,0.26,0.03,0.03,20260512,"prepared_not_launched"
"engine73c_memory_refine16_20260529",8,"prior_refinement","application/config/glofas_latent_path_al_vb_dec25_flex8_d1n300_m360_a92_r95_w018_bt3em02_at3em02_skip_main1000_engine73c.yaml","application/config/glofas_latent_path_al_vb_dec25_memrefine16_d1n300_m360_a92_r95_w018_bt1em02_at3em02_skip_main1000_engine73c.yaml","application/config/model_grid_latent_path_al_vb_dec25_flex8_d1n300_m360_a92_r95_w018_bt3em02_at3em02_skip_main1000_engine73c.csv","application/config/model_grid_latent_path_al_vb_dec25_memrefine16_d1n300_m360_a92_r95_w018_bt1em02_at3em02_skip_main1000_engine73c.csv","/data/jaguir26/local/src/exdqlm__wt__article_app_engine_73c043f","article/app-engine-73c043f","73c043f0436b508808366f312350fd44c2d06771","engine73c_memrefine16_08_d1n300_m360_a92_r95_w018_bt1em02_at3em02_skip_20260529_1618",38,"m360_w18_beta1em2_alpha3em2",1,300,360,0.92,0.95,0.03,1,0.18,0.18,0.01,0.03,20260512,"prepared_not_launched"
"engine73c_memory_refine16_20260529",9,"prior_refinement","application/config/glofas_latent_path_al_vb_dec25_flex8_d1n300_m360_a92_r95_w018_bt3em02_at3em02_skip_main1000_engine73c.yaml","application/config/glofas_latent_path_al_vb_dec25_memrefine16_d1n300_m360_a92_r95_w018_bt3em02_at1em02_skip_main1000_engine73c.yaml","application/config/model_grid_latent_path_al_vb_dec25_flex8_d1n300_m360_a92_r95_w018_bt3em02_at3em02_skip_main1000_engine73c.csv","application/config/model_grid_latent_path_al_vb_dec25_memrefine16_d1n300_m360_a92_r95_w018_bt3em02_at1em02_skip_main1000_engine73c.csv","/data/jaguir26/local/src/exdqlm__wt__article_app_engine_73c043f","article/app-engine-73c043f","73c043f0436b508808366f312350fd44c2d06771","engine73c_memrefine16_09_d1n300_m360_a92_r95_w018_bt3em02_at1em02_skip_20260529_1618",39,"m360_w18_beta3em2_alpha1em2",1,300,360,0.92,0.95,0.03,1,0.18,0.18,0.03,0.01,20260512,"prepared_not_launched"
"engine73c_memory_refine16_20260529",10,"prior_refinement","application/config/glofas_latent_path_al_vb_dec25_flex8_d1n300_m360_a92_r95_w018_bt3em02_at3em02_skip_main1000_engine73c.yaml","application/config/glofas_latent_path_al_vb_dec25_memrefine16_d1n300_m360_a92_r95_w018_bt1em02_at1em02_skip_main1000_engine73c.yaml","application/config/model_grid_latent_path_al_vb_dec25_flex8_d1n300_m360_a92_r95_w018_bt3em02_at3em02_skip_main1000_engine73c.csv","application/config/model_grid_latent_path_al_vb_dec25_memrefine16_d1n300_m360_a92_r95_w018_bt1em02_at1em02_skip_main1000_engine73c.csv","/data/jaguir26/local/src/exdqlm__wt__article_app_engine_73c043f","article/app-engine-73c043f","73c043f0436b508808366f312350fd44c2d06771","engine73c_memrefine16_10_d1n300_m360_a92_r95_w018_bt1em02_at1em02_skip_20260529_1618",41,"m360_w18_beta1em2_alpha1em2",1,300,360,0.92,0.95,0.03,1,0.18,0.18,0.01,0.01,20260512,"prepared_not_launched"
"engine73c_memory_refine16_20260529",11,"prior_refinement","application/config/glofas_latent_path_al_vb_dec25_flex8_d1n300_m360_a92_r95_w018_bt3em02_at3em02_skip_main1000_engine73c.yaml","application/config/glofas_latent_path_al_vb_dec25_memrefine16_d1n300_m360_a92_r95_w018_bt1em01_at3em02_skip_main1000_engine73c.yaml","application/config/model_grid_latent_path_al_vb_dec25_flex8_d1n300_m360_a92_r95_w018_bt3em02_at3em02_skip_main1000_engine73c.csv","application/config/model_grid_latent_path_al_vb_dec25_memrefine16_d1n300_m360_a92_r95_w018_bt1em01_at3em02_skip_main1000_engine73c.csv","/data/jaguir26/local/src/exdqlm__wt__article_app_engine_73c043f","article/app-engine-73c043f","73c043f0436b508808366f312350fd44c2d06771","engine73c_memrefine16_11_d1n300_m360_a92_r95_w018_bt1em01_at3em02_skip_20260529_1618",42,"m360_w18_beta1em1_alpha3em2",1,300,360,0.92,0.95,0.03,1,0.18,0.18,0.1,0.03,20260512,"prepared_not_launched"
"engine73c_memory_refine16_20260529",12,"seed_panel","application/config/glofas_latent_path_al_vb_dec25_flex8_d1n300_m360_a92_r95_w018_bt3em02_at3em02_skip_main1000_engine73c.yaml","application/config/glofas_latent_path_al_vb_dec25_memrefine16_d1n300_m360_a92_r95_w018_bt3em02_at3em02_skip_s20260527_main1000_engine73c.yaml","application/config/model_grid_latent_path_al_vb_dec25_flex8_d1n300_m360_a92_r95_w018_bt3em02_at3em02_skip_main1000_engine73c.csv","application/config/model_grid_latent_path_al_vb_dec25_memrefine16_d1n300_m360_a92_r95_w018_bt3em02_at3em02_skip_s20260527_main1000_engine73c.csv","/data/jaguir26/local/src/exdqlm__wt__article_app_engine_73c043f","article/app-engine-73c043f","73c043f0436b508808366f312350fd44c2d06771","engine73c_memrefine16_12_d1n300_m360_a92_r95_w018_bt3em02_at3em02_skip_s20260527_20260529_1618",43,"m360_w18_both_tau3em2_seed20260527",1,300,360,0.92,0.95,0.03,1,0.18,0.18,0.03,0.03,20260527,"prepared_not_launched"
"engine73c_memory_refine16_20260529",13,"seed_panel","application/config/glofas_latent_path_al_vb_dec25_flex8_d1n300_m360_a92_r95_w018_bt3em02_at3em02_skip_main1000_engine73c.yaml","application/config/glofas_latent_path_al_vb_dec25_memrefine16_d1n300_m360_a92_r95_w018_bt3em02_at3em02_skip_s20260528_main1000_engine73c.yaml","application/config/model_grid_latent_path_al_vb_dec25_flex8_d1n300_m360_a92_r95_w018_bt3em02_at3em02_skip_main1000_engine73c.csv","application/config/model_grid_latent_path_al_vb_dec25_memrefine16_d1n300_m360_a92_r95_w018_bt3em02_at3em02_skip_s20260528_main1000_engine73c.csv","/data/jaguir26/local/src/exdqlm__wt__article_app_engine_73c043f","article/app-engine-73c043f","73c043f0436b508808366f312350fd44c2d06771","engine73c_memrefine16_13_d1n300_m360_a92_r95_w018_bt3em02_at3em02_skip_s20260528_20260529_1618",45,"m360_w18_both_tau3em2_seed20260528",1,300,360,0.92,0.95,0.03,1,0.18,0.18,0.03,0.03,20260528,"prepared_not_launched"
"engine73c_memory_refine16_20260529",14,"seed_panel","application/config/glofas_latent_path_al_vb_dec25_flex8_d1n300_m360_a92_r95_w018_bt3em02_at3em02_skip_main1000_engine73c.yaml","application/config/glofas_latent_path_al_vb_dec25_memrefine16_d1n300_m360_a92_r95_w018_bt3em02_at3em02_skip_s20260529_main1000_engine73c.yaml","application/config/model_grid_latent_path_al_vb_dec25_flex8_d1n300_m360_a92_r95_w018_bt3em02_at3em02_skip_main1000_engine73c.csv","application/config/model_grid_latent_path_al_vb_dec25_memrefine16_d1n300_m360_a92_r95_w018_bt3em02_at3em02_skip_s20260529_main1000_engine73c.csv","/data/jaguir26/local/src/exdqlm__wt__article_app_engine_73c043f","article/app-engine-73c043f","73c043f0436b508808366f312350fd44c2d06771","engine73c_memrefine16_14_d1n300_m360_a92_r95_w018_bt3em02_at3em02_skip_s20260529_20260529_1618",46,"m360_w18_both_tau3em2_seed20260529",1,300,360,0.92,0.95,0.03,1,0.18,0.18,0.03,0.03,20260529,"prepared_not_launched"
"engine73c_memory_refine16_20260529",15,"seed_panel","application/config/glofas_latent_path_al_vb_dec25_flex8_d1n300_m360_a92_r95_w018_bt3em02_at3em02_skip_main1000_engine73c.yaml","application/config/glofas_latent_path_al_vb_dec25_memrefine16_d1n300_m360_a92_r95_w018_bt3em02_at3em02_skip_s20260530_main1000_engine73c.yaml","application/config/model_grid_latent_path_al_vb_dec25_flex8_d1n300_m360_a92_r95_w018_bt3em02_at3em02_skip_main1000_engine73c.csv","application/config/model_grid_latent_path_al_vb_dec25_memrefine16_d1n300_m360_a92_r95_w018_bt3em02_at3em02_skip_s20260530_main1000_engine73c.csv","/data/jaguir26/local/src/exdqlm__wt__article_app_engine_73c043f","article/app-engine-73c043f","73c043f0436b508808366f312350fd44c2d06771","engine73c_memrefine16_15_d1n300_m360_a92_r95_w018_bt3em02_at3em02_skip_s20260530_20260529_1618",47,"m360_w18_both_tau3em2_seed20260530",1,300,360,0.92,0.95,0.03,1,0.18,0.18,0.03,0.03,20260530,"prepared_not_launched"
"engine73c_memory_refine16_20260529",16,"seed_panel","application/config/glofas_latent_path_al_vb_dec25_flex8_d1n300_m360_a92_r95_w018_bt3em02_at3em02_skip_main1000_engine73c.yaml","application/config/glofas_latent_path_al_vb_dec25_memrefine16_d1n300_m360_a92_r95_w018_bt3em02_at3em02_skip_s20260531_main1000_engine73c.yaml","application/config/model_grid_latent_path_al_vb_dec25_flex8_d1n300_m360_a92_r95_w018_bt3em02_at3em02_skip_main1000_engine73c.csv","application/config/model_grid_latent_path_al_vb_dec25_memrefine16_d1n300_m360_a92_r95_w018_bt3em02_at3em02_skip_s20260531_main1000_engine73c.csv","/data/jaguir26/local/src/exdqlm__wt__article_app_engine_73c043f","article/app-engine-73c043f","73c043f0436b508808366f312350fd44c2d06771","engine73c_memrefine16_16_d1n300_m360_a92_r95_w018_bt3em02_at3em02_skip_s20260531_20260529_1618",49,"m360_w18_both_tau3em2_seed20260531",1,300,360,0.92,0.95,0.03,1,0.18,0.18,0.03,0.03,20260531,"prepared_not_launched"
