"output_role","storage_class","promoted_path","source_path","run_id","diagnostic_run_id","config_path","article_git_sha","engine_repo_sha","engine_repo_sha_source","engine_repo_sha_field","source_sha256","promoted_sha256","file_size_bytes","promoted_at"
"score_summary_tex","article_table","/data/jaguir26/local/src/Article-Q-DESN/tables/glofas_application_score_summary__glofas_stage_f_alpha025_scorebalanced_20260624.tex","/data/jaguir26/local/src/Article-Q-DESN/application/outputs/generated/glofas_stage_f_alpha025_full7_confirmation_20260623_d_alpha_025_scorebalanced_synthesis_final/glofas_application_score_summary.tex","glofas_stage_f_alpha025_full7_confirmation_20260623_d_alpha_025_scorebalanced_synthesis_final","glofas_stage_f_alpha025_full7_confirmation_20260623_d_alpha_025_scorebalanced_diagnostic_figures","/data/jaguir26/local/src/Article-Q-DESN/local_trackers/runtime_configs/glofas_stage_f_alpha025_full7_confirmation_20260623/d_alpha_025/synthesis_config_scorebalanced.yaml","706205bc0927df1585bbcf65fd68684edd6bf705","73c043f0436b508808366f312350fd44c2d06771","synthesis_config.dependencies.qdesn_engine_required_commit","dependencies.qdesn_engine_required_commit","9d5ba8bc31feb9c2231d1c92483f52b77b566a7db2744a0b37a35f708384ccdc","9d5ba8bc31feb9c2231d1c92483f52b77b566a7db2744a0b37a35f708384ccdc",401,"2026-06-24 02:45:14 EDT"
"score_summary_csv","article_table","/data/jaguir26/local/src/Article-Q-DESN/tables/glofas_application_score_summary__glofas_stage_f_alpha025_scorebalanced_20260624.csv","/data/jaguir26/local/src/Article-Q-DESN/application/runs/glofas_stage_f_alpha025_full7_confirmation_20260623_d_alpha_025_scorebalanced_synthesis_final/tables/score_summary.csv","glofas_stage_f_alpha025_full7_confirmation_20260623_d_alpha_025_scorebalanced_synthesis_final","glofas_stage_f_alpha025_full7_confirmation_20260623_d_alpha_025_scorebalanced_diagnostic_figures","/data/jaguir26/local/src/Article-Q-DESN/local_trackers/runtime_configs/glofas_stage_f_alpha025_full7_confirmation_20260623/d_alpha_025/synthesis_config_scorebalanced.yaml","706205bc0927df1585bbcf65fd68684edd6bf705","73c043f0436b508808366f312350fd44c2d06771","synthesis_config.dependencies.qdesn_engine_required_commit","dependencies.qdesn_engine_required_commit","a89cfeae6bec8efac8caa2930ae081a861f353efa830079f54c4d1d94c57b3ce","a89cfeae6bec8efac8caa2930ae081a861f353efa830079f54c4d1d94c57b3ce",533,"2026-06-24 02:45:14 EDT"
"post_fit_metrics_by_model","article_table","/data/jaguir26/local/src/Article-Q-DESN/tables/glofas_application_post_fit_metrics_by_model__glofas_stage_f_alpha025_scorebalanced_20260624.csv","/data/jaguir26/local/src/Article-Q-DESN/application/runs/glofas_stage_f_alpha025_full7_confirmation_20260623_d_alpha_025_scorebalanced_synthesis_final/tables/post_fit_metrics_by_model.csv","glofas_stage_f_alpha025_full7_confirmation_20260623_d_alpha_025_scorebalanced_synthesis_final","glofas_stage_f_alpha025_full7_confirmation_20260623_d_alpha_025_scorebalanced_diagnostic_figures","/data/jaguir26/local/src/Article-Q-DESN/local_trackers/runtime_configs/glofas_stage_f_alpha025_full7_confirmation_20260623/d_alpha_025/synthesis_config_scorebalanced.yaml","706205bc0927df1585bbcf65fd68684edd6bf705","73c043f0436b508808366f312350fd44c2d06771","synthesis_config.dependencies.qdesn_engine_required_commit","dependencies.qdesn_engine_required_commit","55b84a6f469bf92cc5c3ba0a2ac1093d39de1c5db2ef2995fec6890daa2dc260","55b84a6f469bf92cc5c3ba0a2ac1093d39de1c5db2ef2995fec6890daa2dc260",728,"2026-06-24 02:45:14 EDT"
"post_fit_metrics_by_horizon","article_table","/data/jaguir26/local/src/Article-Q-DESN/tables/glofas_application_post_fit_metrics_by_horizon__glofas_stage_f_alpha025_scorebalanced_20260624.csv","/data/jaguir26/local/src/Article-Q-DESN/application/runs/glofas_stage_f_alpha025_full7_confirmation_20260623_d_alpha_025_scorebalanced_synthesis_final/tables/post_fit_metrics_by_horizon.csv","glofas_stage_f_alpha025_full7_confirmation_20260623_d_alpha_025_scorebalanced_synthesis_final","glofas_stage_f_alpha025_full7_confirmation_20260623_d_alpha_025_scorebalanced_diagnostic_figures","/data/jaguir26/local/src/Article-Q-DESN/local_trackers/runtime_configs/glofas_stage_f_alpha025_full7_confirmation_20260623/d_alpha_025/synthesis_config_scorebalanced.yaml","706205bc0927df1585bbcf65fd68684edd6bf705","73c043f0436b508808366f312350fd44c2d06771","synthesis_config.dependencies.qdesn_engine_required_commit","dependencies.qdesn_engine_required_commit","afa377731ef1ace86d99fa0f3408f3d822d4c2d47c76a359bc7f5d39473c08ad","afa377731ef1ace86d99fa0f3408f3d822d4c2d47c76a359bc7f5d39473c08ad",11838,"2026-06-24 02:45:14 EDT"
"post_fit_forecast_window_band_check","article_table","/data/jaguir26/local/src/Article-Q-DESN/tables/glofas_application_forecast_window_band_check__glofas_stage_f_alpha025_scorebalanced_20260624.csv","/data/jaguir26/local/src/Article-Q-DESN/application/runs/glofas_stage_f_alpha025_full7_confirmation_20260623_d_alpha_025_scorebalanced_synthesis_final/tables/prediction_quantiles_synthesized.csv","glofas_stage_f_alpha025_full7_confirmation_20260623_d_alpha_025_scorebalanced_synthesis_final","glofas_stage_f_alpha025_full7_confirmation_20260623_d_alpha_025_scorebalanced_diagnostic_figures","/data/jaguir26/local/src/Article-Q-DESN/local_trackers/runtime_configs/glofas_stage_f_alpha025_full7_confirmation_20260623/d_alpha_025/synthesis_config_scorebalanced.yaml","706205bc0927df1585bbcf65fd68684edd6bf705","73c043f0436b508808366f312350fd44c2d06771","synthesis_config.dependencies.qdesn_engine_required_commit","dependencies.qdesn_engine_required_commit","89618d3713a7c9bd008478ec22bf4cfbdc5543c0bce28c7878f7e44da2f005c4","89618d3713a7c9bd008478ec22bf4cfbdc5543c0bce28c7878f7e44da2f005c4",254955,"2026-06-24 02:45:14 EDT"
"post_fit_forecast_window_band_check_uncalibrated","diagnostic_table","/data/jaguir26/local/src/Article-Q-DESN/tables/glofas_application_forecast_window_band_check_uncalibrated__glofas_stage_f_alpha025_scorebalanced_20260624.csv","/data/jaguir26/local/src/Article-Q-DESN/application/runs/glofas_stage_f_alpha025_full7_confirmation_20260623_d_alpha_025_scorebalanced_synthesis_final/tables/prediction_quantiles_synthesized_uncalibrated.csv","glofas_stage_f_alpha025_full7_confirmation_20260623_d_alpha_025_scorebalanced_synthesis_final","glofas_stage_f_alpha025_full7_confirmation_20260623_d_alpha_025_scorebalanced_diagnostic_figures","/data/jaguir26/local/src/Article-Q-DESN/local_trackers/runtime_configs/glofas_stage_f_alpha025_full7_confirmation_20260623/d_alpha_025/synthesis_config_scorebalanced.yaml","706205bc0927df1585bbcf65fd68684edd6bf705","73c043f0436b508808366f312350fd44c2d06771","synthesis_config.dependencies.qdesn_engine_required_commit","dependencies.qdesn_engine_required_commit","363f42fe6fbbfab8461fe1e297f54396e4eae609d40919b13708edfbe7b67397","363f42fe6fbbfab8461fe1e297f54396e4eae609d40919b13708edfbe7b67397",227874,"2026-06-24 02:45:14 EDT"
"spread_calibration_manifest","provenance_snapshot","/data/jaguir26/local/src/Article-Q-DESN/tables/glofas_application_spread_calibration_manifest__glofas_stage_f_alpha025_scorebalanced_20260624.csv","/data/jaguir26/local/src/Article-Q-DESN/application/runs/glofas_stage_f_alpha025_full7_confirmation_20260623_d_alpha_025_scorebalanced_synthesis_final/tables/spread_calibration_manifest.csv","glofas_stage_f_alpha025_full7_confirmation_20260623_d_alpha_025_scorebalanced_synthesis_final","glofas_stage_f_alpha025_full7_confirmation_20260623_d_alpha_025_scorebalanced_diagnostic_figures","/data/jaguir26/local/src/Article-Q-DESN/local_trackers/runtime_configs/glofas_stage_f_alpha025_full7_confirmation_20260623/d_alpha_025/synthesis_config_scorebalanced.yaml","706205bc0927df1585bbcf65fd68684edd6bf705","73c043f0436b508808366f312350fd44c2d06771","synthesis_config.dependencies.qdesn_engine_required_commit","dependencies.qdesn_engine_required_commit","76c8a7fc37d7f70aaa880fce2a04e2b21cfcf66b58c54af684202ab00d350cda","76c8a7fc37d7f70aaa880fce2a04e2b21cfcf66b58c54af684202ab00d350cda",232,"2026-06-24 02:45:14 EDT"
"post_fit_parameter_summary","article_table","/data/jaguir26/local/src/Article-Q-DESN/tables/glofas_application_post_fit_parameter_summary__glofas_stage_f_alpha025_scorebalanced_20260624.csv","/data/jaguir26/local/src/Article-Q-DESN/application/runs/glofas_stage_f_alpha025_full7_confirmation_20260623_d_alpha_025_scorebalanced_diagnostic_figures/tables/vb_convergence_runtime_summary.csv","glofas_stage_f_alpha025_full7_confirmation_20260623_d_alpha_025_scorebalanced_synthesis_final","glofas_stage_f_alpha025_full7_confirmation_20260623_d_alpha_025_scorebalanced_diagnostic_figures","/data/jaguir26/local/src/Article-Q-DESN/local_trackers/runtime_configs/glofas_stage_f_alpha025_full7_confirmation_20260623/d_alpha_025/synthesis_config_scorebalanced.yaml","706205bc0927df1585bbcf65fd68684edd6bf705","73c043f0436b508808366f312350fd44c2d06771","synthesis_config.dependencies.qdesn_engine_required_commit","dependencies.qdesn_engine_required_commit","3f3dfd778e646080aa6f3f3882fafe0beef40e14e322f7dcd1145c43932cbea4","3f3dfd778e646080aa6f3f3882fafe0beef40e14e322f7dcd1145c43932cbea4",3484,"2026-06-24 02:45:14 EDT"
"post_fit_trace_summary","article_table","/data/jaguir26/local/src/Article-Q-DESN/tables/glofas_application_post_fit_trace_summary__glofas_stage_f_alpha025_scorebalanced_20260624.csv","/data/jaguir26/local/src/Article-Q-DESN/application/runs/glofas_stage_f_alpha025_full7_confirmation_20260623_d_alpha_025_scorebalanced_diagnostic_figures/tables/vb_convergence_runtime_summary.csv","glofas_stage_f_alpha025_full7_confirmation_20260623_d_alpha_025_scorebalanced_synthesis_final","glofas_stage_f_alpha025_full7_confirmation_20260623_d_alpha_025_scorebalanced_diagnostic_figures","/data/jaguir26/local/src/Article-Q-DESN/local_trackers/runtime_configs/glofas_stage_f_alpha025_full7_confirmation_20260623/d_alpha_025/synthesis_config_scorebalanced.yaml","706205bc0927df1585bbcf65fd68684edd6bf705","73c043f0436b508808366f312350fd44c2d06771","synthesis_config.dependencies.qdesn_engine_required_commit","dependencies.qdesn_engine_required_commit","3f3dfd778e646080aa6f3f3882fafe0beef40e14e322f7dcd1145c43932cbea4","3f3dfd778e646080aa6f3f3882fafe0beef40e14e322f7dcd1145c43932cbea4",3484,"2026-06-24 02:45:14 EDT"
"launch_readiness_report","article_table","/data/jaguir26/local/src/Article-Q-DESN/tables/glofas_application_launch_readiness_report__glofas_stage_f_alpha025_scorebalanced_20260624.csv","/data/jaguir26/local/src/Article-Q-DESN/application/runs/glofas_stage_f_alpha025_full7_confirmation_20260623_d_alpha_025_scorebalanced_synthesis_final/tables/launch_readiness_report.csv","glofas_stage_f_alpha025_full7_confirmation_20260623_d_alpha_025_scorebalanced_synthesis_final","glofas_stage_f_alpha025_full7_confirmation_20260623_d_alpha_025_scorebalanced_diagnostic_figures","/data/jaguir26/local/src/Article-Q-DESN/local_trackers/runtime_configs/glofas_stage_f_alpha025_full7_confirmation_20260623/d_alpha_025/synthesis_config_scorebalanced.yaml","706205bc0927df1585bbcf65fd68684edd6bf705","73c043f0436b508808366f312350fd44c2d06771","synthesis_config.dependencies.qdesn_engine_required_commit","dependencies.qdesn_engine_required_commit","8462a65f3f9004408a7c5d26a945cb4ea7aa9b0ffb6f867e582cb66971c52f16","8462a65f3f9004408a7c5d26a945cb4ea7aa9b0ffb6f867e582cb66971c52f16",2252,"2026-06-24 02:45:14 EDT"
"launch_readiness_summary","article_table","/data/jaguir26/local/src/Article-Q-DESN/tables/glofas_application_launch_readiness_summary__glofas_stage_f_alpha025_scorebalanced_20260624.txt","/data/jaguir26/local/src/Article-Q-DESN/application/runs/glofas_stage_f_alpha025_full7_confirmation_20260623_d_alpha_025_scorebalanced_synthesis_final/tables/launch_readiness_summary.txt","glofas_stage_f_alpha025_full7_confirmation_20260623_d_alpha_025_scorebalanced_synthesis_final","glofas_stage_f_alpha025_full7_confirmation_20260623_d_alpha_025_scorebalanced_diagnostic_figures","/data/jaguir26/local/src/Article-Q-DESN/local_trackers/runtime_configs/glofas_stage_f_alpha025_full7_confirmation_20260623/d_alpha_025/synthesis_config_scorebalanced.yaml","706205bc0927df1585bbcf65fd68684edd6bf705","73c043f0436b508808366f312350fd44c2d06771","synthesis_config.dependencies.qdesn_engine_required_commit","dependencies.qdesn_engine_required_commit","646c165c93214337cb6669ddf87bd1ee63786270d5a9257af9c48dca69e02dbb","646c165c93214337cb6669ddf87bd1ee63786270d5a9257af9c48dca69e02dbb",557,"2026-06-24 02:45:14 EDT"
"quantile_synthesis_diagnostic_summary","article_table","/data/jaguir26/local/src/Article-Q-DESN/tables/glofas_application_quantile_synthesis_diagnostic_summary__glofas_stage_f_alpha025_scorebalanced_20260624.csv","/data/jaguir26/local/src/Article-Q-DESN/application/runs/glofas_stage_f_alpha025_full7_confirmation_20260623_d_alpha_025_scorebalanced_synthesis_final/tables/quantile_synthesis_diagnostic_summary.csv","glofas_stage_f_alpha025_full7_confirmation_20260623_d_alpha_025_scorebalanced_synthesis_final","glofas_stage_f_alpha025_full7_confirmation_20260623_d_alpha_025_scorebalanced_diagnostic_figures","/data/jaguir26/local/src/Article-Q-DESN/local_trackers/runtime_configs/glofas_stage_f_alpha025_full7_confirmation_20260623/d_alpha_025/synthesis_config_scorebalanced.yaml","706205bc0927df1585bbcf65fd68684edd6bf705","73c043f0436b508808366f312350fd44c2d06771","synthesis_config.dependencies.qdesn_engine_required_commit","dependencies.qdesn_engine_required_commit","4babca739e8180b166896c0171916d3d3404a29d0572230e9921287c7f2e7de7","4babca739e8180b166896c0171916d3d3404a29d0572230e9921287c7f2e7de7",452,"2026-06-24 02:45:14 EDT"
"score_by_quantile","article_table","/data/jaguir26/local/src/Article-Q-DESN/tables/glofas_application_score_by_quantile__glofas_stage_f_alpha025_scorebalanced_20260624.csv","/data/jaguir26/local/src/Article-Q-DESN/application/runs/glofas_stage_f_alpha025_full7_confirmation_20260623_d_alpha_025_scorebalanced_synthesis_final/tables/score_by_quantile.csv","glofas_stage_f_alpha025_full7_confirmation_20260623_d_alpha_025_scorebalanced_synthesis_final","glofas_stage_f_alpha025_full7_confirmation_20260623_d_alpha_025_scorebalanced_diagnostic_figures","/data/jaguir26/local/src/Article-Q-DESN/local_trackers/runtime_configs/glofas_stage_f_alpha025_full7_confirmation_20260623/d_alpha_025/synthesis_config_scorebalanced.yaml","706205bc0927df1585bbcf65fd68684edd6bf705","73c043f0436b508808366f312350fd44c2d06771","synthesis_config.dependencies.qdesn_engine_required_commit","dependencies.qdesn_engine_required_commit","a61fa418cfd38516ad03c49feed02ac395ffc4ca41c8b2847279fbb969843ebc","a61fa418cfd38516ad03c49feed02ac395ffc4ca41c8b2847279fbb969843ebc",275950,"2026-06-24 02:45:14 EDT"
"score_by_interval","article_table","/data/jaguir26/local/src/Article-Q-DESN/tables/glofas_application_score_by_interval__glofas_stage_f_alpha025_scorebalanced_20260624.csv","/data/jaguir26/local/src/Article-Q-DESN/application/runs/glofas_stage_f_alpha025_full7_confirmation_20260623_d_alpha_025_scorebalanced_synthesis_final/tables/score_by_interval.csv","glofas_stage_f_alpha025_full7_confirmation_20260623_d_alpha_025_scorebalanced_synthesis_final","glofas_stage_f_alpha025_full7_confirmation_20260623_d_alpha_025_scorebalanced_diagnostic_figures","/data/jaguir26/local/src/Article-Q-DESN/local_trackers/runtime_configs/glofas_stage_f_alpha025_full7_confirmation_20260623/d_alpha_025/synthesis_config_scorebalanced.yaml","706205bc0927df1585bbcf65fd68684edd6bf705","73c043f0436b508808366f312350fd44c2d06771","synthesis_config.dependencies.qdesn_engine_required_commit","dependencies.qdesn_engine_required_commit","b29de14fb740d20769603386838c102758d17f2f7edce609f599c7c507ca6c9e","b29de14fb740d20769603386838c102758d17f2f7edce609f599c7c507ca6c9e",22903,"2026-06-24 02:45:14 EDT"
"score_by_crps","article_table","/data/jaguir26/local/src/Article-Q-DESN/tables/glofas_application_score_by_crps__glofas_stage_f_alpha025_scorebalanced_20260624.csv","/data/jaguir26/local/src/Article-Q-DESN/application/runs/glofas_stage_f_alpha025_full7_confirmation_20260623_d_alpha_025_scorebalanced_synthesis_final/tables/score_by_crps.csv","glofas_stage_f_alpha025_full7_confirmation_20260623_d_alpha_025_scorebalanced_synthesis_final","glofas_stage_f_alpha025_full7_confirmation_20260623_d_alpha_025_scorebalanced_diagnostic_figures","/data/jaguir26/local/src/Article-Q-DESN/local_trackers/runtime_configs/glofas_stage_f_alpha025_full7_confirmation_20260623/d_alpha_025/synthesis_config_scorebalanced.yaml","706205bc0927df1585bbcf65fd68684edd6bf705","73c043f0436b508808366f312350fd44c2d06771","synthesis_config.dependencies.qdesn_engine_required_commit","dependencies.qdesn_engine_required_commit","2ff66d35afa2bad17514a426157b204876fc306093a0d8ea7d78ca9fff0a298b","2ff66d35afa2bad17514a426157b204876fc306093a0d8ea7d78ca9fff0a298b",6601,"2026-06-24 02:45:14 EDT"
"synthesis_source_readiness","article_table","/data/jaguir26/local/src/Article-Q-DESN/tables/glofas_application_synthesis_source_readiness__glofas_stage_f_alpha025_scorebalanced_20260624.csv","/data/jaguir26/local/src/Article-Q-DESN/application/runs/glofas_stage_f_alpha025_full7_confirmation_20260623_d_alpha_025_scorebalanced_synthesis_final/tables/synthesis_source_readiness.csv","glofas_stage_f_alpha025_full7_confirmation_20260623_d_alpha_025_scorebalanced_synthesis_final","glofas_stage_f_alpha025_full7_confirmation_20260623_d_alpha_025_scorebalanced_diagnostic_figures","/data/jaguir26/local/src/Article-Q-DESN/local_trackers/runtime_configs/glofas_stage_f_alpha025_full7_confirmation_20260623/d_alpha_025/synthesis_config_scorebalanced.yaml","706205bc0927df1585bbcf65fd68684edd6bf705","73c043f0436b508808366f312350fd44c2d06771","synthesis_config.dependencies.qdesn_engine_required_commit","dependencies.qdesn_engine_required_commit","a8356b4961afd100c01dc1ea7e5aefc95652da81412f7cebc5b51ac8d7d6ed9d","a8356b4961afd100c01dc1ea7e5aefc95652da81412f7cebc5b51ac8d7d6ed9d",739,"2026-06-24 02:45:14 EDT"
